Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"NGN","NGN/USD","FX","0.00","1.00","-42,967,216.00","49.30","49.30","Cash and/or Derivatives","-","-","-","United States","USD","USD","362.15"
"NGN","NGN/USD","FX","0.00","1.00","-44,303,224.00","50.83","50.83","Cash and/or Derivatives","-","-","-","United States","USD","USD","362.15"
"VND","VND/USD","FX","0.00","1.00","-530,271,000.00","51.96","51.96","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"VND","VND/USD","FX","0.00","1.00","-551,389,141.00","54.03","54.03","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"VND","VND/USD","FX","0.00","1.00","-553,555,080.00","54.24","54.24","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"KES","KES/USD","FX","0.00","1.00","-3,878,550.00","57.41","57.41","Cash and/or Derivatives","-","-","-","United States","USD","USD","101.10"
"VND","VND/USD","FX","0.00","1.00","-704,084,265.00","68.99","68.99","Cash and/or Derivatives","-","-","-","United States","USD","USD","22,778.00"
"NGN","NGN/USD","FX","0.00","1.00","-65,365,151.00","74.98","74.98","Cash and/or Derivatives","-","-","-","United States","USD","USD","362.15"
"OMR","OMR/USD","FX","0.00","1.00","-30,254.00","-30.61","-30.61","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"JOD","JOD/USD","FX","0.00","1.00","-14,728.00","-23.37","-23.37","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.71"
"JOD","JOD/USD","FX","0.00","1.00","-12,965.00","-20.57","-20.57","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.71"
"OMR","OMR/USD","FX","0.00","1.00","-18,835.00","-19.06","-19.06","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"JOD","JOD/USD","FX","0.00","1.00","-10,902.00","-17.29","-17.29","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.71"
"OMR","OMR/USD","FX","0.00","1.00","-11,496.00","-11.63","-11.63","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"OMR","OMR/USD","FX","0.00","1.00","-10,991.00","-11.12","-11.12","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"BDT","BDT/USD","FX","0.00","1.00","-8,390,141.00","-7.21","-7.21","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"BDT","BDT/USD","FX","0.00","1.00","-7,433,071.00","-6.38","-6.38","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"OMR","OMR/USD","FX","0.00","1.00","-5,727.00","-5.80","-5.80","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"OMR","OMR/USD","FX","0.00","1.00","-5,356.00","-5.42","-5.42","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"AED","AED/USD","FX","0.00","1.00","-206,121.00","-5.35","-5.35","Cash and/or Derivatives","-","-","-","United States","USD","USD","3.67"
"BDT","BDT/USD","FX","0.00","1.00","-5,629,306.00","-4.83","-4.83","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"BDT","BDT/USD","FX","0.00","1.00","-5,585,613.00","-4.80","-4.80","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"OMR","OMR/USD","FX","0.00","1.00","-4,169.00","-4.22","-4.22","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"BDT","BDT/USD","FX","0.00","1.00","-4,280,329.00","-3.68","-3.68","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"KWD","KWD/USD","FX","0.00","1.00","-23,142.00","-2.54","-2.54","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"BDT","BDT/USD","FX","0.00","1.00","-2,398,728.00","-2.06","-2.06","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"BDT","BDT/USD","FX","0.00","1.00","-2,316,290.00","-1.99","-1.99","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"BDT","BDT/USD","FX","0.00","1.00","-2,081,738.00","-1.79","-1.79","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"BDT","BDT/USD","FX","0.00","1.00","-1,986,161.00","-1.71","-1.71","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"KWD","KWD/USD","FX","0.00","1.00","-7,429.00","-0.81","-0.81","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"OMR","OMR/USD","FX","0.00","1.00","-213,925.00","0.01","0.01","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"KWD","KWD/USD","FX","0.00","1.00","-2,923.00","0.32","0.32","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-3,157.00","0.35","0.35","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-3,498.00","0.38","0.38","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-4,410.00","0.48","0.48","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-5,427.00","0.59","0.59","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-5,820.00","0.64","0.64","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-6,156.00","0.67","0.67","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-6,511.00","0.71","0.71","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-6,681.00","0.73","0.73","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-9,828.00","1.07","1.07","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-13,270.00","1.45","1.45","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"MAD","MAD/USD","FX","0.00","1.00","-331,063.00","1.62","1.62","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"KWD","KWD/USD","FX","0.00","1.00","-18,129.00","1.98","1.98","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-19,457.00","2.13","2.13","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-35,392.00","3.87","3.87","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-51,182.00","5.60","5.60","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-61,481.00","6.73","6.73","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-9,402.00","9.26","9.26","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-90,058.00","9.85","9.85","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"KWD","KWD/USD","FX","0.00","1.00","-126,130.00","13.81","13.81","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.30"
"NGN","NGN/USD","FX","0.00","1.00","-22,417,705.00","25.72","25.72","Cash and/or Derivatives","-","-","-","United States","USD","USD","362.15"
"EUR","EUR/USD","FX","0.00","1.00","-55,000.00","-93.23","-93.23","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.85"
"BDT","BDT/USD","FX","0.00","1.00","-4,003,341.00","-91.51","-91.51","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"JOD","JOD/USD","FX","0.00","1.00","-45,660.00","-72.44","-72.44","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.71"
"JOD","JOD/USD","FX","0.00","1.00","-44,700.00","-70.92","-70.92","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.71"
"BDT","BDT/USD","FX","0.00","1.00","-2,383,683.00","-54.49","-54.49","Cash and/or Derivatives","-","-","-","United States","USD","USD","83.69"
"MAD","MAD/USD","FX","0.00","1.00","-373,923.00","-42.36","-42.36","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"OMR","OMR/USD","FX","0.00","1.00","-37,215.00","-37.66","-37.66","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.38"
"JOD","JOD/USD","FX","0.00","1.00","-23,100.00","-36.65","-36.65","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.71"
"MAD","MAD/USD","FX","0.00","1.00","-301,352.00","-34.14","-34.14","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"MAD","MAD/USD","FX","0.00","1.00","-518,172.00","-145.26","-145.26","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"MAD","MAD/USD","FX","0.00","1.00","-413,896.00","-116.02","-116.02","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"JOD","JOD/USD","FX","0.00","1.00","-61,940.00","-98.27","-98.27","Cash and/or Derivatives","-","-","-","United States","USD","USD","0.71"
"MAD","MAD/USD","FX","0.00","1.00","-598,795.00","-167.85","-167.85","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"NGN","NGN/USD","FX","0.00","1.00","-21,048,739.00","-160.84","-160.84","Cash and/or Derivatives","-","-","-","United States","USD","USD","359.50"
"MAD","MAD/USD","FX","0.00","1.00","-947,273.00","-265.54","-265.54","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"MAD","MAD/USD","FX","0.00","1.00","-852,160.00","-238.88","-238.88","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"MAD","MAD/USD","FX","0.00","1.00","-1,978,590.00","-224.13","-224.13","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"NGN","NGN/USD","FX","0.00","1.00","-38,797,968.00","-296.46","-296.46","Cash and/or Derivatives","-","-","-","United States","USD","USD","359.50"
"MAD","MAD/USD","FX","0.00","1.00","-3,441,018.00","-389.78","-389.78","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"MAD","MAD/USD","FX","0.00","1.00","-1,360,954.00","-381.49","-381.49","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"NGN","NGN/USD","FX","0.00","1.00","-49,840,031.00","-380.84","-380.84","Cash and/or Derivatives","-","-","-","United States","USD","USD","359.50"
"NGN","NGN/USD","FX","0.00","1.00","-56,416,992.00","-431.09","-431.09","Cash and/or Derivatives","-","-","-","United States","USD","USD","359.50"
"NGN","NGN/USD","FX","0.00","1.00","-53,410,926.00","-408.12","-408.12","Cash and/or Derivatives","-","-","-","United States","USD","USD","359.50"
"USD","USD/KWD","FX","0.00","3.31","177,710.00","-470.29","-470.29","Cash and/or Derivatives","-","-","-","Kuwait","USD","KWD","1.00"
"RON","RON/USD","FX","0.00","1.00","-1,227,721.00","-600.65","-600.65","Cash and/or Derivatives","-","-","-","United States","USD","USD","3.95"
"MAD","MAD/USD","FX","0.00","1.00","-2,498,343.00","-700.32","-700.32","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"MAD","MAD/USD","FX","0.00","1.00","-2,759,861.00","-773.63","-773.63","Cash and/or Derivatives","-","-","-","United States","USD","USD","9.47"
"USD","USD CASH","Cash","-1.36","100.00","-8,466,807.00","-8,466,806.93","-8,466,806.93","Cash and/or Derivatives","-","-","-","United States","USD","USD","1.00"
 
