title,time,init,link
Chứng khoán Mỹ giảm điểm mạnh vì lợi suất trái phiếu tăng cao,25/04/2018 11:34,Đây không phải là lần đầu tiên chứng khoán Mỹ sụt giảm vì lợi suất trái phiếu tăng trong năm nay...,http://vneconomy.vn/chung-khoan-my-giam-diem-manh-vi-loi-suat-trai-phieu-tang-cao-20180425111759503.htm
Cổ phiếu TPBank vượt hai áp lực chào sàn HOSE,19/04/2018 21:37,Cổ phiếu TPB của TPBank chào sàn HOSE trong một phiên thị trường rực lửa...,http://vneconomy.vn/co-phieu-tpbank-vuot-hai-ap-luc-chao-san-hose-20180419210250789.htm
Chứng khoán sáng 26/4: Tiền nghỉ lễ,26/04/2018 12:01,Điều đáng ngại nhất sáng nay là tâm lý bắt đáy đã hao mòn đáng kể...,http://vneconomy.vn/chung-khoan-sang-26-4-tien-nghi-le-2018042611592864.htm
Báo cáo lợi nhuận tốt giúp chứng khoán Mỹ hồi phục,26/04/2018 08:09,"Hai chỉ số S&P 500 và Dow Jones đã có một phiên giao dịch giằng co và chốt phiên trong trạng thái ""xanh""...",http://vneconomy.vn/bao-cao-loi-nhuan-tot-giup-chung-khoan-my-hoi-phuc-20180426075857301.htm
"Chứng khoán chiều 26/4: Bán tháo ồ ạt, blue-chips lại sàn hàng loạt",26/04/2018 16:51,Nhịp rơi tự do trong chiều nay được kích thích từ áp lực bán tăng vọt ở các blue-chips. Quá nhiều cổ phiếu giảm cực mạnh đã khiến thị trường gục ngã thật sự...,http://vneconomy.vn/chung-khoan-chieu-26-4-ban-thao-o-at-blue-chips-lai-san-hang-loat-20180426164835232.htm
Vì sao lợi suất trái phiếu Mỹ vượt 3% khiến giới đầu tư “đứng ngồi không yên”?,26/04/2018 10:22,Lợi suất trái phiếu kho bạc Mỹ kỳ hạn 10 năm là một mốc tham chiếu cho lãi suất vay vốn trên toàn cầu...,http://vneconomy.vn/vi-sao-loi-suat-trai-phieu-my-vuot-3-khien-gioi-dau-tu-dung-ngoi-khong-yen-20180426100614512.htm
"Chứng khoán sáng 24/4: Khối ngoại ""táng"" hơn  2 triệu VIC",24/04/2018 12:05,Thị trường đã lặp lại diễn biến khá giống hôm 20/4 vừa qua khi giảm thêm nhịp nữa rồi bật tăng. Một số trụ đang được đẩy lên khá mạnh trong khi độ rộng rất kém...,http://vneconomy.vn/chung-khoan-sang-24-4-khoi-ngoai-tang-hon-2-trieu-vic-20180424120040393.htm
Bloomberg nói về tháng tệ nhất trong vòng 2 năm của chứng khoán Việt Nam,24/04/2018 14:49,"Kể từ mức kỷ lục thiết lập vào hôm 6/4, chứng khoán Việt Nam đến nay đã mất 14 tỷ USD giá trị vốn hóa...",http://vneconomy.vn/bloomberg-noi-ve-thang-te-nhat-trong-vong-2-nam-cua-chung-khoan-viet-nam-20180424113135461.htm
"Lập nghiệp ở tuổi 40, biến startup thành đế chế 100 tỷ USD trong 7 năm",19/04/2018 13:26,"Từng được gọi là ""Steve Jobs của Trung Quốc"", Lei Jun đã từ một kỹ sư lập trình trở thành ông chủ của công ty có doanh thu hàng chục tỷ USD mỗi năm...",http://vneconomy.vn/lap-nghiep-o-tuoi-40-bien-startup-thanh-de-che-100-ty-usd-trong-7-nam-20180418112657915.htm
"SHB sẽ tăng vốn điều lệ, nâng tỷ lệ cổ tức năm 2018",19/04/2018 07:57,SHB tiếp tục đặt các chỉ tiêu kinh doanh cơ bản cao hơn trong năm 2018...,http://vneconomy.vn/shb-se-tang-von-dieu-le-nang-ty-le-co-tuc-nam-2018-20180419022641607.htm
"Cổ phiếu công nghệ bùng nổ, chứng khoán Mỹ tăng điểm",27/04/2018 08:55,Báo cáo lợi nhuận tốt và lợi suất trái phiếu Mỹ giảm xuống đã giúp Phố Wall đi lên...,http://vneconomy.vn/co-phieu-cong-nghe-bung-no-chung-khoan-my-tang-diem-20180427072342275.htm
TVSI sẽ lên sàn vào thời điểm tích hợp,24/04/2018 15:04,"TVIS báo lãi trước thuế đạt 34,1 tỷ đồng, gấp 5,3 lần so với cùng kỳ năm 2017 và hoàn thành 54% kế hoạch lợi nhuận năm...",http://vneconomy.vn/tvsi-se-len-san-vao-thoi-diem-tich-hop-20180423191644515.htm
Blog chứng khoán: Khoảng trống thông tin,24/04/2018 16:41,Đến lúc này có thể nói thị trường chẳng còn câu chuyện nào đủ thú vị để kích thích trí tưởng tượng nữa...,http://vneconomy.vn/blog-chung-khoan-khoang-trong-thong-tin-20180424163513232.htm
Sếp Viettel có thể nhận thù lao 174 triệu năm 2017 từ Viettel Global,20/04/2018 21:17,"Ông Nguyễn Mạnh Hùng - Tổng giám đốc Tập đoàn Công nghiệp Viễn thông Viettel, có thể nhận được mức thù lao 174 triệu cho năm 2017 từ Viettel Global...",http://vneconomy.vn/sep-viettel-co-the-nhan-thu-lao-174-trieu-nam-2017-tu-viettel-global-20180420170641603.htm
"Quý 1, VIB báo lãi trước thuế 518 tỷ, gấp 3,3 lần cùng kỳ 2017",19/04/2018 08:00,"Doanh thu của ngân hàng tăng 49% so với cùng kỳ, nhờ thu nhập lãi thuần tăng 52% và lãi thuần từ hoạt động dịch vụ tăng 125%...",http://vneconomy.vn/quy-1-vib-bao-lai-truoc-thue-518-ty-gap-33-lan-cung-ky-2017-20180418213614432.htm
"Nhận định chứng khoán ngày 27/4: ""Cơ hội tích lũy cổ phiếu với giá hợp lý""",26/04/2018 22:31,VnEconomy giới thiệu nhận định và khuyến nghị đầu tư của một số công ty chứng khoán về diễn biến thị trường ngày 27/4/2018...,http://vneconomy.vn/nhan-dinh-chung-khoan-ngay-27-4-co-hoi-tich-luy-co-phieu-voi-gia-hop-ly-20180426201705961.htm
"Cổ đông năng động, doanh nghiệp được nhờ",27/04/2018 07:30,"SCIC đang nỗ lực để giúp các doanh nghiệp phát triển và bảo toàn, phát huy hiệu quả đồng vốn Nhà nước...",http://vneconomy.vn/co-dong-nang-dong-doanh-nghiep-duoc-nho-20180426172059323.htm
Người giàu nhất thế giới “kiếm” 12 tỷ USD trong một ngày,27/04/2018 09:02,Tỷ phú giàu nhất thế giới Jeff Bezos càng trở nên giàu hơn vào ngày thứ Năm...,http://vneconomy.vn/nguoi-giau-nhat-the-gioi-kiem-12-ty-usd-trong-mot-ngay-20180427085707698.htm
"Chứng khoán sáng 27/4: Đảo chiều tăng, vở cũ có soạn lại?",27/04/2018 12:10,"Thị trường đón nhận ""cơn mưa giải hạn"" trong sáng nay khi cổ phiếu quay đầu phục hồi và các chỉ số tăng tốt...",http://vneconomy.vn/chung-khoan-sang-27-4-dao-chieu-tang-vo-cu-co-soan-lai-20180427120754243.htm
Chứng khoán Việt Nam có thể là thị trường tệ nhất thế giới tháng 4,27/04/2018 11:33,Chứng khoán Việt Nam đang đứng trước nguy cơ trở thành thị trường giảm điểm mạnh nhất thế giới trong tháng 4...,http://vneconomy.vn/chung-khoan-viet-nam-co-the-la-thi-truong-te-nhat-the-gioi-thang-4-20180427105628586.htm
"Năm 2017,  Vietnam Airlines lãi trước thuế 3.155 tỷ đồng",27/04/2018 15:00,Đây là mức lợi nhuận cao nhất trong lịch sử hoạt động của doanh nghiệp này...,http://vneconomy.vn/nam-2017-vietnam-airlines-lai-truoc-thue-3155-ty-dong-20180427081911968.htm
Gã khổng lồ Tencent mất 118 tỷ USD vốn hóa trong hơn 3 tháng,27/04/2018 12:04,Cơn lốc bán tháo cổ phiếu công nghệ toàn cầu tiếp tục nhấn chìm cổ phiếu Tencent...,http://vneconomy.vn/ga-khong-lo-tencent-mat-118-ty-usd-von-hoa-trong-hon-3-thang-20180426195309772.htm
Blog chứng khoán: Tăng an ủi,27/04/2018 16:37,Thanh khoảng hôm nay rất kém tức là không phải ai cũng chấp nhận đặt cược vào việc thị trường sẽ tốt hơn sau kỳ nghỉ...,http://vneconomy.vn/blog-chung-khoan-tang-an-ui-2018042716353302.htm
Startup gia sư trực tuyến Trung Quốc được định giá hơn 3 tỷ USD,27/04/2018 15:58,"Với định giá này, VIPKid có thể trở thành startup giáo dục trực tuyến lớn nhất thế giới...",http://vneconomy.vn/startup-gia-su-truc-tuyen-trung-quoc-duoc-dinh-gia-hon-3-ty-usd-20180426204302228.htm
Nhìn từ “trường hợp hiếm có” tại VietinBank,25/04/2018 14:11,VietinBank chờ biện pháp cuối cùng để giải thế bí trong mô hình cổ phần hóa Nhà nước chi phối...,http://vneconomy.vn/nhin-tu-truong-hop-hiem-co-tai-vietinbank-20180425021830708.htm
