stock_id,last_close,book_value,highest_52w,lowest_52w,pe,eps,roa,roe,beta,avg_vol_13w,on_bal_vol_ratio,volume,cap_market
DRL,54.5,14.8,57,34.4,8.1,6718,42%,45%,0.18,1316,0.03%,9500000,518
DS3,23.1,11.0,23.8,14.9,28.6,808,7%,9%,0.09,233108,4.70%,10669730,246
HFX,1.4,0,1.4,1.4,0,0,38%,7%,0,0,0%,1270000,2
HGM,41.9,16.8,42.9,31.5,19.7,2124,10%,13%,0.08,497,0.01%,12600000,528
HGW,15.3,17.2,15.3,15.3,30.1,508,2%,3%,0,0,0%,17478835,267
IDC,22.5,0,29.4,22.2,0,0,0%,0%,0,83490,0.42%,55305500,1244
IDI,14.1,12.3,16.2,3.9,7.3,1922,6%,16%,0.99,4027736,10.20%,181609671,2561
DND,19.1,12.0,22,8.6,203.2,94,3%,5%,0,5483,0.13%,8834000,169
DNE,7.1,11.6,10.4,5.4,11.4,621,5%,13%,0,63,0%,5773600,41
DNH,19,13.2,41.9,17.6,12.3,1545,9%,12%,0,527,0%,422400000,8026
DNL,12,14.0,16,11.7,3000,4,11%,12%,0,759,0.04%,4310000,52
DNM,18.5,18.5,26,18.5,7.4,2501,8%,13%,0,319,0.02%,4377605,81
DNN,5.8,12.0,8.9,5.4,3.8,1520,10%,15%,0,0,0%,57964061,336
DNP,21,19.2,27,15.9,12.3,1702,2%,8%,0.22,55307,0.30%,50009272,1050
DCM,12.6,11.6,15,9.9,10.4,1207,5%,10%,0.55,1390049,2.51%,529400000,6644
DCS,1.5,10.6,2.8,1.5,71.4,21,0%,0%,0.54,283342,1.34%,60310988,90
DCT,0.8,6.2,1.9,0.7,0.1,5732,22%,93%,0.71,2596,0.02%,27223647,22
DDH,6,9.6,10.5,6,46.9,128,1%,1%,0,22,0%,3600000,22
DDM,0.8,51.7,1.9,0.7,0.1,9337,12%,14%,0.65,828,0.01%,12244495,10
DDN,13,20.5,18.2,12.5,16.4,794,2%,17%,0,1011,0.02%,8793896,114
DDV,6.6,6.9,8.8,5.4,63.5,104,1%,1%,0,49211,0.14%,146109900,964
FCM,5.8,13.9,8.8,4.6,6.8,850,3%,5%,0.44,167463,1.06%,41000000,238
FCN,20.2,25.7,24.3,15.3,10.4,1943,5%,13%,0.90,731669,3.74%,87345136,1095
FCS,10,5.4,12.2,8.6,4.6,2161,7%,40%,0,204,0%,29450000,294
FDC,25.1,15.0,30,17.5,60.3,416,2%,3%,0.24,3541,0.02%,38629988,970
FDG,1.2,6.0,1.5,1.1,1.2,1010,10%,17%,0.54,364,0.01%,13200000,16
FDT,43,13.5,45.6,28.4,15.1,2843,6%,21%,0.07,17,0%,3054500,131
FHN,40.5,0,40.5,40.5,0,0,0%,0%,0,1,0%,3000000,122
FID,2.6,10.2,2.8,1.4,37.7,69,1%,1%,0.20,22227,0.23%,23539998,57
FIT,6.3,15.7,13.3,4.1,15.1,416,2%,3%,0.55,1979213,4.39%,254730247,1605
LDW,11.1,0,11.1,11.1,0,0,0%,0%,0,0,0%,13816193,153
LEC,18.5,13.3,33.5,13.2,31.5,588,2%,6%,0.13,1866,0.02%,26100000,483
DSC,70.6,0,83,13.6,0,0,0%,0%,0,14879,0.52%,6000000,424
DSG,10,0,10,10,0,0,9%,49%,0,1,0%,8000000,80
DSN,58.5,19.2,59.7,48.4,7.9,7370,37%,38%,0.05,10178,0.18%,12083009,707
DSS,10,0,11,10,0,0,2%,9%,0,0,0%,2045000,20
DST,3.3,10.1,42.5,2.7,94.3,35,0%,0%,0.43,1285497,9.80%,32300000,107
DSV,5,0,9.3,5,0,0,1%,10%,0,391,0.06%,1229579,6
FTM,15.3,11.6,15.7,11.4,20.2,754,2%,7%,0.10,757877,4.12%,50000000,762
FTS,16.6,0,17,11.1,8300,2,0%,0%,0.94,91706,0.32%,99376952,1650
D11,15.8,13.6,16.3,10.0,55.1,287,1%,2%,0.64,1238,0.04%,6551965,104
D26,8.3,0,8.3,8.3,0,0,6%,19%,0,0,0%,1000000,8
HHA,96,21.4,120,43.4,11.8,8108,6%,20%,0,87,0%,5896100,566
HHC,99,21.4,99.9,39.6,48.2,2052,7%,10%,0.10,2032,0.03%,16425000,1626
HHG,5.9,12.3,9.3,5.5,4.5,1323,7%,11%,0.62,227795,1.91%,28840125,170
HHN,11.4,0,11.4,11.4,0,0,1%,1%,0,0,0%,1440000,16
HHR,9.8,10.7,9.8,9.8,20,491,2%,12%,0,0,0%,1380000,14
HHS,3.7,11.7,5.7,3.7,11.1,335,3%,3%,0.46,1981583,4.28%,274744063,1022
IDJ,2.8,8.3,3.7,2,24.3,115,1%,1%,0.95,20156,0.15%,32600000,91
IDN,17,0,17,17,0,0,0%,0%,0,0,0%,1100000,19
IDV,32.4,12.6,43.2,28.8,9.2,3527,8%,28%,0.13,18126,0.25%,16172549,524
IFC,12.3,9.3,20.5,8.6,559.1,22,0%,0%,0,954,0.06%,3000000,37
IFS,9,3.7,13.8,6.5,6.8,1332,17%,36%,0.24,575,0%,87140984,784
IHK,15.7,12.6,20.7,10.1,9.7,1625,5%,13%,0,64,0.01%,2141928,34
CSV,39.2,18.2,44.4,27.0,7.2,5448,23%,30%,0.05,78639,0.47%,44200000,1733
CT3,7.1,0,9.6,5.7,0,0,3%,9%,0,98,0%,8000000,57
CT6,5.7,8.7,6.5,4.3,2.7,2140,7%,24%,0.18,26,0%,6108078,35
CTA,0.5,4.7,1.8,0.5,0.6,843,10%,18%,0.72,878,0.02%,9542381,4
CTB,34.6,16.4,35,20.9,17.5,1982,3%,12%,0.33,910,0.02%,8600000,298
