title,time,intro,link
"Gần 2.600 dự án 'xài' vốn ưu đãi, ODA chuẩn bị 'lên bàn cân'",2018/04/20,,http://vietnamfinance.vn/gan-2600-du-an-xai-von-uu-dai-oda-chuan-bi-len-ban-can-20180420065347197.htm
Talanx AG muốn nắm cổ phần chi phối tại Công ty bảo hiểm PVI,2018/04/20,,http://vietnamfinance.vn/talanx-ag-muon-nam-co-phan-chi-phoi-tai-cong-ty-bao-hiem-pvi-20180420071504661.htm
"Tái cơ cấu PVN: Thoái vốn triệt để, lành mạnh hóa tài chính các đơn vị thành viên",2018/04/20,,http://vietnamfinance.vn/tai-co-cau-pvn-thoai-von-triet-de-lanh-manh-hoa-tai-chinh-cac-don-vi-thanh-vien-20180420075408983.htm
Tư nhân ‘hết cửa’ trở thành cổ đông lớn của Tập đoàn Công nghiệp Cao su,2018/04/19,,http://vietnamfinance.vn/tu-nhan-het-cua-tro-thanh-co-dong-lon-cua-tap-doan-cong-nghiep-cao-su-20180419191229801.htm
VietinBank trình cổ đông chấm dứt sáp nhập PGBank để ‘tập trung nguồn lực phát triển’,2018/04/20,,http://vietnamfinance.vn/vietinbank-trinh-co-dong-cham-dut-sap-nhap-pgbank-de-tap-trung-nguon-luc-phat-trien-20180420113956882.htm
LienVietPostBank ký kết hợp tác với Hiệp hội Doanh nghiệp nhỏ và vừa Việt Nam,2018/04/20,,http://vietnamfinance.vn/lienvietpostbank-ky-ket-hop-tac-voi-hiep-hoi-doanh-nghiep-nho-va-vua-viet-nam-20180420103143982.htm
"ĐHĐCĐ Sacombank: 'Giá cổ phiếu đã tăng, cổ đông có thể bán cổ phiếu hoặc chờ cổ tức'",2018/04/20,,http://vietnamfinance.vn/dhdcd-sacombank-gia-co-phieu-da-tang-co-dong-co-the-ban-co-phieu-hoac-cho-co-tuc-20180420101543264.htm
"Bầu Kiên gửi tâm thư, đề nghị làm rõ các vấn đề nhân sự tại ACB",2018/04/19,,http://vietnamfinance.vn/bau-kien-gui-tam-thu-de-nghi-lam-ro-cac-van-de-nhan-su-tai-acb-20180419162849306.htm
Bà Đặng Ngọc Lan: 'Viện lý do liên quan đến nhóm G6 để loại ông Hưng khỏi HĐQT ACB là không ổn',2018/04/19,,http://vietnamfinance.vn/ba-dang-ngoc-lan-vien-ly-do-lien-quan-den-nhom-g6-de-loai-ong-hung-khoi-hdqt-acb-la-khong-on-2018041914590391.htm
NHNN không chấp nhận ứng viên HĐQT ACB liên quan đến bầu Kiên,2018/04/19,,http://vietnamfinance.vn/nhnn-khong-chap-nhan-ung-vien-hdqt-acb-lien-quan-den-bau-kien-20180419123503222.htm
Cổ phiếu TPBank đi ngược thị trường trong ngày chào sàn HoSE,2018/04/19,,http://vietnamfinance.vn/co-phieu-tpbank-di-nguoc-thi-truong-trong-ngay-chao-san-hose-20180419100958161.htm
HoSE đã nhận hồ sơ niêm yết của Techcombank,2018/04/18,,http://vietnamfinance.vn/hose-da-nhan-ho-so-niem-yet-cua-techcombank-20180418202025137.htm
Bộ Công an khởi tố Vũ ‘nhôm’ trong vụ án xảy ra tại Ngân hàng Đông Á,2018/04/18,,http://vietnamfinance.vn/bo-cong-an-khoi-to-vu-nhom-trong-vu-an-xay-ra-tai-ngan-hang-dong-a-20180418200321303.htm
"Vietcombank kỳ vọng lãi 13.000 tỷ năm 2018, khẩn trương bán 10% cổ phần để tăng vốn",2018/04/18,,http://vietnamfinance.vn/vietcombank-ky-vong-lai-13000-ty-nam-2018-khan-truong-ban-10-co-phan-de-tang-von-20180418151557021.htm
2 vụ khiếu nại mất gần 300 tỷ đồng tiền gửi ảnh hưởng thế nào đến Eximbank?,2018/04/18,,http://vietnamfinance.vn/2-vu-khieu-nai-mat-gan-300-ty-dong-tien-gui-anh-huong-the-nao-den-eximbank-2018041814282554.htm
